account_id,customer_id,branch_id,account_type,balance,account_status
1,29336,5,Current,475697.15,INACTIVE
2,26310,1,Savings,66885.78,ACTIVE
3,28909,3,Current,51101.52,ACTIVE
4,32527,5,Savings,192530.27,INACTIVE
5,8749,3,Current,272915.26,INACTIVE
6,28229,3,Current,232371.47,INACTIVE
7,43166,5,Current,340399.93,INACTIVE
8,19095,5,Savings,426548.85,ACTIVE
9,32344,4,Current,62656.29,INACTIVE
10,39558,4,Savings,208191.4,ACTIVE
11,36829,1,Current,183946.03,INACTIVE
12,38143,3,Current,205310.34,INACTIVE
13,15061,5,Current,298672.65,INACTIVE
14,27858,3,Current,143667.97,ACTIVE
15,38566,1,Savings,66863.61,INACTIVE
16,8119,1,Savings,105605.47,ACTIVE
17,44147,5,Savings,36796.11,INACTIVE
18,17922,5,Savings,197476.33,ACTIVE
19,5279,5,Current,62411.24,INACTIVE
20,32917,2,Current,447266.45,INACTIVE
21,43983,2,Current,388774.76,INACTIVE
22,28271,4,Current,467094.94,INACTIVE
23,35597,1,Savings,15644.48,ACTIVE
24,27797,2,Savings,251197.13,INACTIVE
25,35482,1,Current,305936.06,INACTIVE
26,17174,4,Current,473152.39,INACTIVE
27,28773,1,Current,311489.01,INACTIVE
28,42288,2,Current,55459.11,INACTIVE
29,1047,5,Current,312386.97,INACTIVE
30,49549,3,Savings,237866.27,INACTIVE
31,20621,4,Current,181665.94,INACTIVE
32,30306,1,Current,432398.63,INACTIVE
33,23143,5,Current,231742.87,INACTIVE
34,6103,2,Current,488518.14,ACTIVE
35,6908,3,Current,468874.03,INACTIVE
36,34077,1,Current,443722.61,ACTIVE
37,27339,3,Current,482860.33,INACTIVE
38,5193,2,Current,330397.36,INACTIVE
39,25977,2,Savings,7239.68,ACTIVE
40,32759,2,Current,108474.36,INACTIVE
41,11492,5,Savings,155354.89,ACTIVE
42,238,4,Current,15312.68,ACTIVE
43,12991,3,Current,441178.08,INACTIVE
44,11922,3,Current,197859.11,ACTIVE
45,30402,4,Current,334229.78,ACTIVE
