loan_id,customer_id,loan_type,loan_amount,interest_rate,emi_amount,loan_status
1,13945,Home Loan,3148632,10.33,52477.2,ACTIVE
2,19905,Car Loan,2970818,9.0,49513.63,ACTIVE
3,45431,Car Loan,1606078,14.03,26767.97,DEFAULT
4,25302,Car Loan,3610650,12.35,60177.5,CLOSED
5,31930,Car Loan,1965900,8.62,32765.0,CLOSED
6,46226,Car Loan,2026034,11.52,33767.23,DEFAULT
7,19203,Car Loan,4413496,13.9,73558.27,ACTIVE
8,48941,Personal Loan,3106154,11.09,51769.23,CLOSED
9,14872,Home Loan,3914239,10.37,65237.32,CLOSED
10,48787,Personal Loan,2984749,12.28,49745.82,DEFAULT
11,17051,Personal Loan,1065589,13.67,17759.82,DEFAULT
12,4102,Personal Loan,3226558,7.11,53775.97,CLOSED
13,4230,Car Loan,621181,10.06,10353.02,DEFAULT
14,39384,Home Loan,714196,11.42,11903.27,CLOSED
15,46218,Personal Loan,1789318,9.01,29821.97,CLOSED
16,31366,Personal Loan,3434963,12.22,57249.38,ACTIVE
17,1386,Home Loan,786461,13.66,13107.68,CLOSED
18,12028,Car Loan,1200754,8.22,20012.57,ACTIVE
19,2352,Personal Loan,4889171,10.25,81486.18,CLOSED
20,46596,Personal Loan,351048,11.16,5850.8,CLOSED
21,19669,Home Loan,2573393,10.35,42889.88,ACTIVE
22,45289,Home Loan,483270,14.02,8054.5,CLOSED
23,38251,Personal Loan,2899948,13.13,48332.47,ACTIVE
24,45681,Car Loan,887556,14.48,14792.6,ACTIVE
25,24427,Home Loan,2793522,9.91,46558.7,CLOSED
26,38965,Personal Loan,3174655,12.14,52910.92,DEFAULT
27,15002,Home Loan,2402732,10.74,40045.53,DEFAULT
28,43729,Personal Loan,3552745,7.62,59212.42,DEFAULT
29,25247,Car Loan,1528711,13.92,25478.52,ACTIVE
30,22138,Car Loan,4199911,14.36,69998.52,CLOSED
31,28590,Personal Loan,899426,9.9,14990.43,ACTIVE
32,7913,Car Loan,1039908,8.53,17331.8,CLOSED
33,12734,Personal Loan,4430948,8.12,73849.13,DEFAULT
34,24486,Home Loan,948551,13.18,15809.18,ACTIVE
35,10420,Personal Loan,59961,10.79,999.35,ACTIVE
36,6416,Personal Loan,3786713,7.81,63111.88,DEFAULT
37,47728,Car Loan,335554,7.83,5592.57,CLOSED
38,13199,Personal Loan,2665930,13.79,44432.17,ACTIVE
39,4141,Personal Loan,2310214,13.78,38503.57,ACTIVE
40,18105,Personal Loan,3735177,9.16,62252.95,DEFAULT
41,20536,Home Loan,3697328,8.99,61622.13,CLOSED
42,44246,Home Loan,1815705,14.7,30261.75,CLOSED
43,6586,Car Loan,1556710,14.42,25945.17,CLOSED
44,33635,Personal Loan,2643753,14.12,44062.55,DEFAULT
45,17670,Home Loan,96986,8.41,1616.43,CLOSED
46,45961,Car Loan,3869917,13.67,64498.62,DEFAULT
47,46457,Personal Loan,738666,14.09,12311.1,CLOSED
48,21777,Personal Loan,3986460,13.34,66441.0,ACTIVE
49,8648,Car Loan,434498,9.44,7241.63,CLOSED
50,24522,Car Loan,3742863,12.95,62381.05,CLOSED
51,9126,Home Loan,4399178,7.15,73319.63,CLOSED
52,38634,Home Loan,2537406,8.75,42290.1,CLOSED
53,44271,Home Loan,767769,12.44,12796.15,CLOSED
54,2705,Personal Loan,2621579,8.38,43692.98,DEFAULT
55,18609,Personal Loan,1832729,8.15,30545.48,CLOSED
56,22763,Car Loan,338000,12.4,5633.33,ACTIVE
57,19616,Home Loan,4130721,11.17,68845.35,CLOSED
58,42092,Home Loan,2457821,12.44,40963.68,DEFAULT
59,11640,Car Loan,1138203,13.03,18970.05,ACTIVE
60,21467,Home Loan,3729047,9.07,62150.78,ACTIVE
61,41219,Car Loan,1190713,12.58,19845.22,CLOSED
62,35537,Personal Loan,1971826,13.26,32863.77,DEFAULT
63,32629,Personal Loan,80631,12.41,1343.85,ACTIVE
64,48687,Personal Loan,2604219,13.17,43403.65,DEFAULT
65,6779,Personal Loan,798513,7.37,13308.55,DEFAULT
66,9521,Car Loan,4216460,7.04,70274.33,CLOSED
67,23769,Home Loan,2072922,10.96,34548.7,ACTIVE
68,30456,Personal Loan,858504,11.93,14308.4,DEFAULT
69,14821,Personal Loan,2705425,10.64,45090.42,ACTIVE
70,38010,Car Loan,2717108,10.62,45285.13,DEFAULT
71,41338,Personal Loan,1262328,13.1,21038.8,CLOSED
72,10902,Personal Loan,4350854,12.57,72514.23,ACTIVE
73,27618,Personal Loan,2763841,8.65,46064.02,ACTIVE
74,24022,Personal Loan,277049,12.26,4617.48,ACTIVE
75,49754,Personal Loan,93576,12.08,1559.6,DEFAULT
76,39944,Car Loan,4742995,7.55,79049.92,DEFAULT
77,7785,Home Loan,1423608,12.26,23726.8,DEFAULT
78,47527,Personal Loan,4634263,10.22,77237.72,CLOSED
79,43820,Personal Loan,4821571,14.54,80359.52,DEFAULT
80,46484,Car Loan,3972678,10.26,66211.3,CLOSED
81,49567,Personal Loan,3014069,8.63,50234.48,CLOSED
82,5910,Personal Loan,2325195,10.03,38753.25,ACTIVE
83,6068,Home Loan,1543670,11.29,25727.83,DEFAULT
84,28063,Car Loan,2802930,11.0,46715.5,ACTIVE
85,40966,Home Loan,1127718,12.74,18795.3,CLOSED
86,29738,Home Loan,3598366,13.01,59972.77,ACTIVE
87,20116,Personal Loan,2660022,8.53,44333.7,ACTIVE
88,9100,Home Loan,3628980,8.95,60483.0,CLOSED
89,36007,Car Loan,2058927,11.68,34315.45,CLOSED
90,24402,Personal Loan,860157,9.05,14335.95,ACTIVE
91,39402,Car Loan,3677866,8.93,61297.77,DEFAULT
92,41940,Home Loan,4910371,14.39,81839.52,DEFAULT
93,31747,Car Loan,523146,13.11,8719.1,ACTIVE
94,44537,Car Loan,4714021,11.29,78567.02,ACTIVE
95,29845,Home Loan,4771929,12.58,79532.15,DEFAULT
96,24617,Personal Loan,988644,12.77,16477.4,CLOSED
97,25123,Car Loan,4005546,12.78,66759.1,ACTIVE
98,35220,Car Loan,680645,10.13,11344.08,CLOSED
99,14415,Home Loan,898750,13.06,14979.17,ACTIVE
100,45345,Home Loan,4357470,8.17,72624.5,ACTIVE
101,45583,Home Loan,221224,14.9,3687.07,ACTIVE
102,16121,Personal Loan,1773883,12.62,29564.72,CLOSED
103,19613,Car Loan,3470842,10.61,57847.37,DEFAULT
104,18004,Car Loan,4797297,7.92,79954.95,DEFAULT
105,7892,Car Loan,293485,9.85,4891.42,ACTIVE
106,9789,Personal Loan,4121689,7.67,68694.82,CLOSED
107,2941,Personal Loan,3223156,14.34,53719.27,ACTIVE
108,45345,Personal Loan,1379718,10.63,22995.3,DEFAULT
109,8525,Personal Loan,2863955,13.49,47732.58,ACTIVE
110,33867,Personal Loan,248432,11.06,4140.53,DEFAULT
111,5474,Car Loan,1819785,9.56,30329.75,ACTIVE
112,20745,Personal Loan,169169,9.02,2819.48,CLOSED
113,34641,Home Loan,4444044,14.42,74067.4,ACTIVE
114,34947,Home Loan,3148317,12.05,52471.95,ACTIVE
115,12384,Home Loan,2099334,14.4,34988.9,ACTIVE
116,19834,Home Loan,1863352,10.14,31055.87,CLOSED
117,16319,Car Loan,4035253,10.31,67254.22,CLOSED
118,4636,Car Loan,2763280,10.77,46054.67,ACTIVE
119,5941,Personal Loan,644779,8.09,10746.32,CLOSED
120,47120,Personal Loan,2399296,9.59,39988.27,ACTIVE
121,46421,Home Loan,1657546,12.0,27625.77,DEFAULT
122,4658,Home Loan,4444495,9.03,74074.92,ACTIVE
123,33697,Home Loan,4067142,14.68,67785.7,ACTIVE
124,3981,Car Loan,1372142,8.92,22869.03,DEFAULT
125,30586,Personal Loan,91673,11.91,1527.88,DEFAULT
126,44115,Car Loan,4902477,12.71,81707.95,ACTIVE
127,38725,Personal Loan,4691829,13.92,78197.15,DEFAULT
128,4333,Car Loan,1005452,14.05,16757.53,DEFAULT
129,16800,Home Loan,4930843,12.86,82180.72,DEFAULT
130,32955,Home Loan,4645485,9.76,77424.75,DEFAULT
131,29581,Home Loan,4125468,8.08,68757.8,ACTIVE
132,9389,Home Loan,886051,14.02,14767.52,CLOSED
133,39128,Car Loan,2768720,8.32,46145.33,ACTIVE
134,27663,Personal Loan,1175213,13.3,19586.88,CLOSED
135,46940,Car Loan,1554697,12.5,25911.62,ACTIVE
136,16771,Personal Loan,2196014,7.73,36600.23,CLOSED
137,21877,Personal Loan,120105,9.36,2001.75,ACTIVE
138,2608,Personal Loan,2513410,9.78,41890.17,DEFAULT
139,45439,Personal Loan,1123560,11.81,18726.0,ACTIVE
140,6982,Home Loan,923272,8.28,15387.87,ACTIVE
141,43322,Home Loan,1486338,12.05,24772.3,ACTIVE
142,29742,Home Loan,2316080,10.19,38601.33,ACTIVE
143,32597,Home Loan,4037112,7.2,67285.2,ACTIVE
144,41143,Home Loan,1447840,14.92,24130.67,ACTIVE
145,31982,Car Loan,3166024,11.25,52767.07,CLOSED
